Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee
E0,19/03/16,Chelsea,West Ham,2,2,D,1,1,D,R Madley
E0,19/03/16,Crystal Palace,Leicester,0,1,A,0,1,A,M Jones
E0,19/03/16,Everton,Arsenal,0,2,A,0,2,A,M Clattenburg
E0,19/03/16,Swansea,Aston Villa,1,0,H,0,0,D,M Dean
E0,19/03/16,Watford,Stoke,1,2,A,0,1,A,C Pawson
E0,19/03/16,West Brom,Norwich,0,1,A,0,0,D,A Taylor
E0,20/03/16,Man City,Man United,0,1,A,0,1,A,
E0,20/03/16,Newcastle,Sunderland,1,1,D,0,1,A,M Atkinson
E0,20/03/16,Southampton,Liverpool,3,2,H,0,2,A,R East
E0,20/03/16,Tottenham,Bournemouth,3,0,H,2,0,H,


